Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
ENOG4111XEK	Protein of unknown function (DUF1573)	Function unknown	1.892054208	12-month-old	0.001007358	0.005314135
ENOG410YC3V		Function unknown	2.120410989	12-month-old	0.001007094	0.005314135
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Eisenbergiella.s_Eisenbergiella.tayi	NA	NA	2.011646751	12-month-old	0.001011808	0.005335955
PF09357	[RteC protein]		1.736546616	12-month-old	0.001017075	0.005362074
PF00231	[ATP synthase]		0.234091683	12-month-old	0.001030317	0.005376965
COG0448	ADP-glucose pyrophosphorylase	Carbohydrate transport and metabolism	0.392333106	12-month-old	0.001030317	0.005376965
COG1014	"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit"	Energy production and conversion	0.470055441	12-month-old	0.001030317	0.005376965
COG1151	6Fe-6S prismane cluster-containing protein	Energy production and conversion	0.486063335	12-month-old	0.001030317	0.005376965
PF02608	[ABC transporter substrate-binding protein PnrA-like]		0.665139227	12-month-old	0.001030317	0.005376965
ENOG410XR78	solute-binding protein	Carbohydrate transport and metabolism	0.810680687	12-month-old	0.001030317	0.005376965
COG1641	Uncharacterized conserved protein	Function unknown	0.860360638	12-month-old	0.001030317	0.005376965
K10540	methyl-galactoside transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cell motility; Bacterial chemotaxis | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.934739786	12-month-old	0.001030317	0.005376965
ENOG410Z3UP		Function unknown	0.963842131	12-month-old	0.001030317	0.005376965
COG3196	Uncharacterized protein conserved in bacteria	Function unknown	1.231054397	12-month-old	0.001030317	0.005376965
ENOG4111UWQ		Function unknown	1.986100454	12-month-old	0.001030317	0.005376965
K01322	prolyl oligopeptidase [EC:3.4.21.26]	Organismal Systems; Endocrine system; Renin-angiotensin system | Brite Hierarchies; Protein families: metabolism; Peptidases	2.014465473	12-month-old	0.001023383	0.005376965
ENOG410XT4G	Integrase	Function unknown	2.040656739	12-month-old	0.001030317	0.005376965
ENOG410YNQF		Function unknown	2.261822403	12-month-old	0.001028519	0.005376965
ENOG4111V8D	domain protein	Function unknown	2.643228565	12-month-old	0.001023383	0.005376965
PF18974	[]		1.580014758	12-month-old	0.001043734	0.005445318
ENOG410XPPT	Ragb susd domain-containing protein	Function unknown	1.875770526	12-month-old	0.001049289	0.005469277
PF16120	[Domain of unknown function (DUF4836)]		1.88970344	12-month-old	0.001049289	0.005469277
COG1492	Cobyric acid synthase	Coenzyme metabolism	0.515237196	12-month-old	0.001066154	0.005480045
PF01624	[MutS domain I]		0.550233054	12-month-old	0.001066154	0.005480045
K00901	diacylglycerol kinase (ATP) [EC:2.7.1.107]	Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system | Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway | Human Diseases; Cancers: Overview; Choline metabolism in cancer	0.702610331	12-month-old	0.001066154	0.005480045
PF09681	[N-terminal phage replisome organiser (Phage_rep_org_N)]		0.998168782	12-month-old	0.001066154	0.005480045
PF07561	[Domain of Unknown Function (DUF1540)]		0.998837751	12-month-old	0.001066154	0.005480045
ENOG410XPWD	Domain of unknown function (DUF1972)	Cell wall/membrane/envelope biogenesis	1.029709803	12-month-old	0.001066154	0.005480045
ENOG4111JEF	Ser Thr phosphatase family protein	Function unknown	1.414469497	12-month-old	0.001066154	0.005480045
ENOG410Z79W		Function unknown	1.534118867	12-month-old	0.001061402	0.005480045
ENOG4111NMM		Function unknown	1.619315309	12-month-old	0.001061402	0.005480045
K09952	CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	1.650429207	12-month-old	0.001066154	0.005480045
ENOG410ZWIF	"TonB-linked outer membrane protein, SusC RagA family"	Inorganic ion transport and metabolism	1.772597282	12-month-old	0.001053035	0.005480045
K03332	fructan beta-fructosidase [EC:3.2.1.80]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	1.886204505	12-month-old	0.001066154	0.005480045
ENOG410XYEE		Function unknown	1.999779635	12-month-old	0.001053035	0.005480045
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Phocaeicola..no.family.in.NCBI..g_Phocaeicola.s_Phocaeicola.vulgatus	NA	NA	2.001719871	12-month-old	0.001066154	0.005480045
PF08849	[Putative inner membrane protein (DUF1819)]		2.1025019	12-month-old	0.001066154	0.005480045
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Phocaeicola..no.family.in.NCBI..g_Phocaeicola.s_Unclassified.Phocaeicola	NA	NA	2.10306546	12-month-old	0.001066154	0.005480045
K02021	putative ABC transport system ATP-binding protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.706236653	12-month-old	0.001084255	0.005569723
ENOG410YDVK		Function unknown	2.321044958	12-month-old	0.001084255	0.005569723
ENOG410ZKNE		Function unknown	1.169354373	12-month-old	0.001086096	0.005577497
K01181	"endo-1,4-beta-xylanase [EC:3.2.1.8]"	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.8146099	12-month-old	0.001092685	0.005609645
PF06144	"[DNA polymerase III, delta subunit]"		0.405455792	12-month-old	0.001103142	0.005611119
COG0608	Single-stranded DNA-specific exonuclease	"DNA replication, recombination and repair"	0.41941804	12-month-old	0.001103142	0.005611119
K03169	DNA topoisomerase III [EC:5.99.1.2]	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins	0.46711989	12-month-old	0.001103142	0.005611119
COG4728	Uncharacterized protein conserved in bacteria	Function unknown	0.645582365	12-month-old	0.001103142	0.005611119
PF17761	[]		0.734366353	12-month-old	0.001103142	0.005611119
ENOG4111URT	"ATP synthase, subunit (C"	Energy production and conversion	1.011480812	12-month-old	0.001103142	0.005611119
K20461	lantibiotic transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.075875306	12-month-old	0.001103142	0.005611119
K20904	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.130139947	12-month-old	0.001096203	0.005611119
ENOG410YAGY		Function unknown	1.199994794	12-month-old	0.001097051	0.005611119
K06926	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	1.207605689	12-month-old	0.001103142	0.005611119
K10194	oligogalacturonide transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.559879338	12-month-old	0.001103142	0.005611119
ENOG410ZWFP	transporter major facilitator family protein	Carbohydrate transport and metabolism	1.621438667	12-month-old	0.001103514	0.005611119
ENOG410ZHSA	heparinase II III family protein	Function unknown	1.650398304	12-month-old	0.001094241	0.005611119
ENOG410YT1V	AhpC TSA family	"Posttranslational modification, protein turnover, chaperones"	1.768777449	12-month-old	0.001096203	0.005611119
ENOG4111X9N		Function unknown	1.930513202	12-month-old	0.001103514	0.005611119
ENOG41100V7		Function unknown	1.987181744	12-month-old	0.001103077	0.005611119
K07080	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	2.014585378	12-month-old	0.001103142	0.005611119
ENOG411004W	Plasmid recombination enzyme	Function unknown	1.52230861	12-month-old	0.001106999	0.005627161
ENOG410YEAS	transposase	"Replication, recombination and repair"	1.160678219	12-month-old	0.001114341	0.005662794
ENOG4111VVM	Protein of unknown function (DUF3667)	Function unknown	1.352856248	12-month-old	0.001119485	0.005687239
ENOG4110GT4		Function unknown	1.774226675	12-month-old	0.001130987	0.005743959
K01733	threonine synthase [EC:4.2.3.1]	"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism"	0.212380683	12-month-old	0.001141313	0.005760331
PF00590	[Tetrapyrrole (Corrin/Porphyrin) Methylases]		0.22500643	12-month-old	0.001141313	0.005760331
COG1013	"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit"	Energy production and conversion	0.455590279	12-month-old	0.001141313	0.005760331
COG0341	Preprotein translocase subunit SecF	"('{} (path not available)', 'COG0341')"	0.528454206	12-month-old	0.001141313	0.005760331
COG0315	Molybdenum cofactor biosynthesis enzyme	Coenzyme metabolism	0.562477769	12-month-old	0.001141313	0.005760331
COG4624	"Iron only hydrogenase large subunit, C-terminal domain"	General function prediction only	0.593730251	12-month-old	0.001141313	0.005760331
K07456	DNA mismatch repair protein MutS2	Genetic Information Processing; Replication and repair; Mismatch repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	0.610931761	12-month-old	0.001141313	0.005760331
ENOG410XUWD	UPF0291 protein	Function unknown	0.699150566	12-month-old	0.001141313	0.005760331
K13018	"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	1.258900882	12-month-old	0.001141313	0.005760331
ENOG4111IP5		Function unknown	1.360904412	12-month-old	0.001141313	0.005760331
ENOG4111G83	"Glycosyl transferase, family 11"	Cell wall/membrane/envelope biogenesis	1.605039972	12-month-old	0.001137868	0.005760331
ENOG4111R14	ParB-like nuclease domain	Function unknown	1.84705623	12-month-old	0.001141313	0.005760331
ENOG4111UBA		Function unknown	1.388169454	12-month-old	0.001142878	0.005761406
ENOG410YFW1	peptidase M23	Function unknown	1.491831748	12-month-old	0.00115019	0.005796552
ENOG410ZYVX	Surface layer protein	Function unknown	1.852715315	12-month-old	0.001153447	0.005809526
ENOG410YGAP	acetyl xylan esterase	Function unknown	2.168677812	12-month-old	0.001153447	0.005809526
ENOG4111F8R		Function unknown	1.752648268	12-month-old	0.001170087	0.005884636
ENOG4111FGK		Function unknown	2.017628425	12-month-old	0.001170087	0.005884636
PF18951	[]		2.15914325	12-month-old	0.001169581	0.005884636
ENOG410Y2F5	"Type III restriction enzyme, res subunit"	Defense mechanisms	2.355709744	12-month-old	0.001170087	0.005884636
K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	0.255920422	12-month-old	0.001180701	0.005899697
PF02504	[Fatty acid synthesis protein]		0.455815758	12-month-old	0.001180701	0.005899697
COG2070	Dioxygenases related to 2-nitropropane dioxygenase	General function prediction only	0.457887068	12-month-old	0.001180701	0.005899697
PF04237	[YjbR]		0.48685356	12-month-old	0.001180701	0.005899697
K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins	0.49940276	12-month-old	0.001180701	0.005899697
PF02719	[Polysaccharide biosynthesis protein]		0.500988643	12-month-old	0.001180701	0.005899697
K01989	putative ABC transport system substrate-binding protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.585115815	12-month-old	0.001180701	0.005899697
K01579	aspartate 1-decarboxylase [EC:4.1.1.11]	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis	0.732931917	12-month-old	0.001180701	0.005899697
PF08769	[Sporulation initiation factor Spo0A C terminal]		0.764511683	12-month-old	0.001180701	0.005899697
ENOG410Y2JJ	Replication initiator protein A	"Replication, recombination and repair"	1.124378986	12-month-old	0.001180701	0.005899697
COG3643	Glutamate formiminotransferase	Amino acid transport and metabolism	1.192045589	12-month-old	0.001180701	0.005899697
PF07287	[Acyclic terpene utilisation family protein AtuA]		1.19945174	12-month-old	0.001180701	0.005899697
K10548	putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.462165244	12-month-old	0.001180701	0.005899697
ENOG410XSZ8		Function unknown	1.951718368	12-month-old	0.001175183	0.005899697
ENOG4110WDH		Function unknown	1.611867028	12-month-old	0.001183538	0.005903479
ENOG410ZVK6	Pfam:Transposase_11	"Replication, recombination and repair"	2.544205196	12-month-old	0.001183538	0.005903479
ENOG410ZWWG	Putative amidoligase enzyme	Function unknown	1.665477204	12-month-old	0.00119728	0.00596853
COG1332	Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)	"DNA replication, recombination and repair"	1.814936031	12-month-old	0.00119728	0.00596853
ENOG41120XU	phosphoesterase PA-phosphatase related protein	Function unknown	1.781775049	12-month-old	0.001201691	0.005988767
K01835	phosphoglucomutase [EC:5.4.2.2]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis	0.202605689	12-month-old	0.001221343	0.006044263
ENOG4111XBZ		Function unknown	0.975258453	12-month-old	0.001221343	0.006044263
K01428	urease subunit alpha [EC:3.5.1.5]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection	1.123250346	12-month-old	0.001221343	0.006044263
COG4208	"ABC-type sulfate transport system, permease component"	Inorganic ion transport and metabolism	1.141685718	12-month-old	0.001221343	0.006044263
ENOG4111PAT	Nitrogen regulatory protein pii	Function unknown	1.343349424	12-month-old	0.001221343	0.006044263
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaerotruncus.s_Unclassified.Anaerotruncus	NA	NA	1.465404751	12-month-old	0.001221343	0.006044263
ENOG41128IS	Transcriptional regulator	Function unknown	1.498239447	12-month-old	0.001221343	0.006044263
ENOG410XZUM		Function unknown	1.565017021	12-month-old	0.001220365	0.006044263
PF14064	[HmuY protein]		1.890149342	12-month-old	0.001221077	0.006044263
PF11443	[Domain of unknown function (DUF2828)]		2.016830156	12-month-old	0.001221343	0.006044263
PF08747	[Domain of unknown function (DUF1788)]		2.182371056	12-month-old	0.001221343	0.006044263
